Commission professionnelle consultative;Secteur;Sous-secteur;Niveau;Code diplôme;Diplôme;Intitulé de la spécialité (et options);Code RNCP;Date de l'arrêté de création;Première session;Dernière session
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;400-24008 T;Baccalauréat professionnel;Métiers de l'entretien des textiles, option B : pressing;35807;2020-12-11;2024;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 4;400-31214 T;Baccalauréat professionnel;Métiers du commerce et de la vente option B prospection clientèle et valorisation commerciale;32259;2018-12-17;2022;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;400-23208 V;Baccalauréat professionnel;Métiers et arts de la pierre;35638;2015-06-24;2018;
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;400-31114 M;Baccalauréat professionnel;Organisation de transport de marchandises;34954;2020-02-28;2023;
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 4;400-33602 T;Baccalauréat professionnel;Perruquier posticheur;10304;2010-04-08;2012;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25408 R;Baccalauréat professionnel;Réparation des carrosseries;5859;2008-04-18;2010;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 4;400-33002 M;Baccalauréat professionnel;Services de proximité et vie locale;4556;2005-05-30;2007;2022
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;400-25514 R;Baccalauréat professionnel;Systèmes numériques option B - audiovisuels, réseau et équipement domestiques;26334;2016-03-01;2019;
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 4;400-23404 S;Baccalauréat professionnel;Technicien constructeur bois;2835;2005-07-11;2007;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;;Baccalauréat professionnel;Transport par câbles et remontées mécaniques;;2022-12-21;2026;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-22703 S;Baccalauréat professionnel;Technicien en installation des systèmes énergétiques et climatiques;4433;2006-05-03;2008;2023
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 4;400-23405 S;Baccalauréat professionnel;Technicien menuisier agenceur;2836;2005-07-11;2007;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;400-25108 S;Baccalauréat professionnel;Technicien modeleur;421;2004-02-16;2006;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;400-23102 S;Baccalauréat professionnel;Travaux publics;4420;2005-07-11;2007;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts de la reliure;Niveau 4;401-32208 V;Brevet des métiers d'arts;Art de la reliure et de la dorure;35195;2019-04-19;2021;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 4;401-22316 V;Brevet des métiers d'arts;Art du bijou option bijouterie joaillerie;809;2010-02-18;2012;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 4;401-22317 V;Brevet des métiers d'arts;Art du bijou options bijouterie sertissage;809;2010-02-18;2012;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 4;401-24106 V;Brevet des métiers d'arts;Arts et techniques du tapis et de la tapisserie de lisse;1135;1993-08-05;1995;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 4;401-23304 V;Brevet des métiers d'arts;Arts graphiques option A : signalétique;35242;2019-04-19;2021;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 4;401-23305 V;Brevet des métiers d'arts;Arts graphiques option B : décor peint;35242;2019-04-19;2021;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 4;401-23412 V;Brevet des métiers d'arts;Ebéniste;18328;2014-02-03;2016;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 4;401-22410 V;Brevet des métiers d'arts;Souffleur de verre;;2011-04-05;2013;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 4;450-31001 P;Brevet professionnel;Administration des fonctions publiques;963;1998-08-05;1999;2023
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 4;450-33608 T;Brevet professionnel;Coiffure;12281;2011-03-28;2013;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;450-33404 T;Brevet professionnel;Gouvernante;992;1997-09-03;1997;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 4;450-22003 R;Brevet professionnel;Techniques de laboratoire de recherche option B - physicochimie;1013;1999-01-12;2000;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-31310 T;Brevet de technicien supérieur;Banque conseiller de clientèle (particuliers);1174;2014-02-26;2016;
CPC Agriculture, agroalimentaire et aménagement des espaces;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 5;320-22106 R;Brevet de technicien supérieur;Bioqualité;35335;2020-03-02;2022;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-20009 N;Brevet de technicien supérieur;Conception des produits industriels;35347;2016-02-16;2018;
CPC Industrie;Secteur Bois et dérivés;Sous-secteur;Niveau 5;320-23411 M;Brevet de technicien supérieur;Développement et réalisation bois;9074;2010-05-04;2012;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 5;320-34303 R;Brevet de technicien supérieur;Environnement nucléaire;12766;2011-06-27;2013;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 5;320-22709 M;Brevet de technicien supérieur;Fluides-énergies-domotique option A génie climatique et fluidique;20807;2014-02-26;2016;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-22314 M;Brevet de technicien supérieur;Fonderie;35345;2016-02-16;2018;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-25412 M;Brevet de technicien supérieur;Forge;35343;2016-02-16;2018;
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 5;320-25014 R;Brevet de technicien supérieur;Maintenance des systèmes option A systèmes de production;36968;2022-01-24;2024;
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 5;320-25015 R;Brevet de technicien supérieur;Maintenance des systèmes option B systèmes énergétiques et fluidiques;36968;2022-01-24;2024;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-25012 R;Brevet de technicien supérieur;Maintenance des systèmes option C systèmes éoliens;35338;2018-02-19;2020;2023
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 5;320-25016 R;Brevet de technicien supérieur;Maintenance des systèmes option C systèmes éoliens;36968;2022-01-24;2024;
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 5;320-25017 R;Brevet de technicien supérieur;Maintenance des systèmes option D systèmes ascenseurs et élévateurs;36968;2022-01-24;2024;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 5;320-25215 R;Brevet de technicien supérieur;Maintenance des véhicules option A : voitures particulières;35460;2016-02-11;2018;
CPC Services aux entreprises;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 5;320-34401 T;Brevet de technicien supérieur;Management opérationnel de la sécurité;35393;2020-03-02;2022;
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 5;320-33605 T;Brevet de technicien supérieur;Métiers de l'esthétique-cosmétique-parfumerie, option C cosmétologie;20693;2012-10-30;2015;
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 5;320-25219 R;Brevet de technicien supérieur;Motorisation toutes énergies;;2022-01-24;2024;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 5;320-31212 T;Brevet de technicien supérieur;Négociation et digitalisation de la relation client;34030;2018-02-19;2020;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32325 T;Brevet de technicien supérieur;Photographie;9073;2010-03-26;2012;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33001 P;Brevet de technicien supérieur;Services et prestations des secteurs sanitaire et social;5297;2007-06-19;2009;2023
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-31117 U;Certificat d'aptitude professionnelle;"Conducteur routier ""marchandises""";5377;2007-06-21;2009;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 3;500-32307 V;Certificat d'aptitude professionnelle;Accessoiriste réalisateur;500;1993-08-26;1995;
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-31114 T;Certificat d'aptitude professionnelle;Agent d'accueil et de conduite routière, transport de voyageurs;2714;1998-08-21;2000;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 3;500-34002 M;Certificat d'aptitude professionnelle;Agent de prévention et de médiation;1145;2004-07-06;2006;
CPC Services aux entreprises;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-34405 T;Certificat d'aptitude professionnelle;Agent de sécurité;18620;2010-04-21;2012;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25133 R;Certificat d'aptitude professionnelle;Agent vérificateur d'appareils extincteurs;509;2004-10-21;2006;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 3;500-24127 V;Certificat d'aptitude professionnelle;Arts de la broderie;514;1991-07-19;1993;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts de la reliure;Niveau 3;500-32228 V;Certificat d'aptitude professionnelle;Arts de la reliure;32228;2017-10-31;2019;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-23431 V;Certificat d'aptitude professionnelle;Arts du bois option B - tourneur;518;1983-05-27;1985;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 3;500-22425 V;Certificat d'aptitude professionnelle;Arts et techniques du verre option vitrailliste;525;1994-08-29;1996;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 3;500-32311 V;Certificat d'aptitude professionnelle;Assistant technique en instruments de musique option instruments à vent;36255;2001-09-05;2003;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 3;500-32312 V;Certificat d'aptitude professionnelle;Assistant technique en instruments de musique option piano;36255;2001-09-05;2003;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 3;500-33411 T;Certificat d'aptitude professionnelle;Assistant technique en milieux familial et collectif;2817;2004-08-11;2007;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22349 V;Certificat d'aptitude professionnelle;Bronzier option A - monteur en bronze;530;1977-07-13;1979;
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 3;500-23446 S;Certificat d'aptitude professionnelle;Charpentier bois;35113;2020-04-10;2022;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-22133 S;Certificat d'aptitude professionnelle;Chocolatier confiseur;891;2002-08-21;2004;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 3;500-22422 V;Certificat d'aptitude professionnelle;Décoration en céramique;36338;1993-08-20;1995;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22332 V;Certificat d'aptitude professionnelle;Doreur à la feuille ornemaniste;36683;1976-09-02;1978;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 3;500-22419 S;Certificat d'aptitude professionnelle;Fabrication industrielle des céramiques;579;1991-08-06;1992;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 3;500-31223 T;Certificat d'aptitude professionnelle;Fleuriste;31293;2018-02-16;2020;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-22138 S;Certificat d'aptitude professionnelle;Glacier fabricant;588;2014-02-21;2016;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22339 V;Certificat d'aptitude professionnelle;Lapidaire option A - diamant;595;1974-09-20;1976;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-23224 S;Certificat d'aptitude professionnelle;Maçon;35715;2021-03-30;2023;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;500-23221 S;Certificat d'aptitude professionnelle;Marbrier du bâtiment et de la décoration;16128;2013-02-06;2015;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-23322 S;Certificat d'aptitude professionnelle;Menuisier aluminium verre;814;2002-10-25;2004;2024
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 3;500-23449 S;Certificat d'aptitude professionnelle;Menuisier installateur;35974;2020-11-20;2023;
CPC Sport et animation;Secteur Commercialisation et distribution;Sous-secteur;Niveau 3;500-33501 T;Certificat d'aptitude professionnelle;Métiers du football;619;1977-07-13;1978;
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24242 S;Certificat d'aptitude professionnelle;Métiers de la mode - chapelier-modiste;24750;2011-12-09;2014;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25421 S;Certificat d'aptitude professionnelle;Mise en forme des matériaux;658;1988-08-31;1989;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 3;500-32306 T;Certificat d'aptitude professionnelle;Monteur en chapiteaux;632;1977-07-20;1979;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-22715 S;Certificat d'aptitude professionnelle;Monteur en installations thermiques;30951;2018-04-11;2020;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 3;500-31123 M;Certificat d'aptitude professionnelle;Opérateur/opératrice de service - relation client et livraison;29262;2017-05-30;2018;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 3;500-33106 S;Certificat d'aptitude professionnelle;Ortho-prothésiste;644;1994-08-25;1996;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-31222 T;Certificat d'aptitude professionnelle;Primeur;28809;2017-07-04;2020;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 3;500-24126 S;Certificat d'aptitude professionnelle;Rentrayeur option b - tapisserie;715;1975-05-30;1976;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 3;500-22429 V;Certificat d'aptitude professionnelle;Souffleur de verre option enseigne lumineuse;7332;2009-05-12;2011;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-24239 S;Certificat d'aptitude professionnelle;Tapissier -tapissière d’ameublement en décor;676;2004-07-29;2007;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 3;500-22421 V;Certificat d'aptitude professionnelle;Tournage en céramique;36337;1993-08-20;1995;
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 3;500-23114 S;certificat (autre que diplôme);Certificat de préposé au tir;en cours;1997-05-26;1998;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;321-32205 V;Diplôme des métiers d'art;Arts graphiques option : gravure;826;1998-07-30;2000;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 5;321-23410 V;Diplôme des métiers d'art;Habitat option restauration de mobilier;5293;2007-05-09;2009;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 5;321-32316 M;Diplôme des métiers d'art;Régie du spectacle option lumière;912;2002-07-09;2004;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;010-22107 S;Mention complémentaire de niveau 3;Boulangerie spécialisée;701;2003-04-16;2004;
CPC Services et produits de consommation;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;010-24201 R;Mention complémentaire de niveau 3;Essayage-retouche-vente;1140;1996-10-22;1997;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;010-22304 V;Mention complémentaire de niveau 3;Joaillerie;832;2002-01-08;2003;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;010-25207 R;Mention complémentaire de niveau 3;Maintenance des moteurs diesel et de leurs équipements;865;2002-07-31;2003;2022
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 3;010-22106 W;Mention complémentaire de niveau 3;Vendeur spécialisé en alimentation;742;1997-09-17;1998;2022
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;;Mention complémentaire de niveau 3;Zingueur;744;2022-08-29;2024;
CPC Sport et animation;Secteur;Sous-secteur;Niveau 4;010-33501 P;Mention complémentaire de niveau 4;Animation-gestion de projets dans le secteur sportif;30833;2018-04-13;2019;
CPC Sport et animation;Secteur;Sous-secteur;Niveau 4;010-33505 M;Mention complémentaire de niveau 4;Encadrement secteur sportif option activités de la forme - haltérophilie, musculation;;2022-01-14;2023;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 4;400-33006 M;Baccalauréat professionnel;Animation - enfance et personnes âgées;34605;2019-07-22;2023;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 4;400-22308 V;Baccalauréat professionnel;Artisanat et métiers d'art - facteur d'orgues - option organier;35320;2020-12-15;2021;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 4;400-22403 M;Baccalauréat professionnel;Artisanat et métiers d'art option métiers de l'enseigne et de la signalétique;36425;2005-07-11;2007;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 4;400-22105 S;Baccalauréat professionnel;Boulanger - pâtissier;7068;2009-07-02;2011;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;400-22106 T;Baccalauréat professionnel;Cuisine;12508;2011-05-31;2014;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;400-25007 R;Baccalauréat professionnel;Maintenance des équipements industriels;3632;2005-05-30;2007;2023
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25214 R;Baccalauréat professionnel;Maintenance des véhicules option A - voitures particulières;19117;2014-03-19;2017;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25215 R;Baccalauréat professionnel;Maintenance des véhicules option B - véhicules de transport routier;19117;2014-03-19;2017;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 4;400-31212 M;Baccalauréat professionnel;Métiers de l'accueil;32049;2018-12-17;2022;
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;400-24301 S;Baccalauréat professionnel;Métiers du cuir option chaussures;24738;2009-05-19;2011;
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;400-24002 T;Baccalauréat professionnel;Métiers du pressing et de la blanchisserie;624;2000-07-31;2002;2023
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 4;400-32208 S;Baccalauréat professionnel;Réalisation de produits imprimés et pluri média option B - productions imprimées;18385;2014-03-12;2017;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;400-25515 R;Baccalauréat professionnel;Systèmes numériques option C - réseaux informatiques et systèmes communicants;26335;2016-03-01;2019;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;400-25113 S;Baccalauréat professionnel;Technicien en réalisation de produits mécaniques, option Réalisation et maintenance des outillages;35697;2020-12-09;2024;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 4;401-22313 V;Brevet des métiers d'arts;Armurerie;798;1992-08-20;1994;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 4;401-24210 V;Brevet des métiers d'arts;Broderie;800;1994-07-13;1996;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 4;401-22408 V;Brevet des métiers d'arts;Céramique;801;1994-07-28;1996;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 4;401-25101 V;Brevet des métiers d'arts;Horlogerie;5629;2008-04-21;2010;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 4;401-23409 V;Brevet des métiers d'arts;Technicien en facture instrumentale option accordéon;36340;2003-07-08;2005;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 4;401-22409 V;Brevet des métiers d'arts;Verrier décorateur;;2011-04-05;2013;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;450-22109 S;Brevet professionnel;Arts de la cuisine;34956;2015-01-07;2017;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;450-33403 T;Brevet professionnel;Barman;969;1998-07-23;1999;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 4;450-22108 S;Brevet professionnel;Boulanger;13856;2012-02-15;2014;
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 4;450-33609 T;Brevet professionnel;Esthétique cosmétique parfumerie;34671;2019-06-05;2021;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;450-23216 S;Brevet professionnel;Maçon;31210;2018-04-03;2020;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-23313 S;Brevet professionnel;Menuisier aluminium-verre;31275;2014-03-12;2016;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-25411 S;Brevet professionnel;Métallier;32231;2014-03-12;2016;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 4;450-22502 S;Brevet professionnel;Plastiques et composites;1007;2000-06-14;2001;2023
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 5;320-25302 M;Brevet de technicien supérieur;Aéronautique;1078;2009-04-09;2011;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33109 S;Brevet de technicien supérieur;Analyses de biologie médicale;5298;2007-06-19;2009;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-25414 S;Brevet de technicien supérieur;Conception des processus de découpe et d'emboutissage;35332;2017-02-13;2019;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-22318 N;Brevet de technicien supérieur;Conception des processus de réalisation de produits option A production unitaire;34076;2016-02-16;2018;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-22317 N;Brevet de technicien supérieur;Conception des processus de réalisation de produits option B production sérielle;34076;2016-02-16;2018;
CPC Mer et navigation intérieure;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-25413 S;Brevet de technicien supérieur;Conception et industrialisation en construction navale;35459;2017-02-13;2019;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-25005 N;Brevet de technicien supérieur;Conception et industrialisation en microtechnique;423;2003-07-31;2005;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-25415 M;Brevet de technicien supérieur;Conception et réalisation en chaudronnerie industrielle;35334;2018-02-19;2020;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 5;320-31216 T;Brevet de technicien supérieur;Conseil et commercialisation de solutions techniques;en cours;2020-11-25;2023;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 5;320-23306 P;Brevet de technicien supérieur;Finitions, aménagement des bâtiments : conception et réalisation;35809;2020-12-11;2023;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 5;320-22404 S;Brevet de technicien supérieur;Industries céramiques;1066;1997-09-03;1998;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 5;320-25216 R;Brevet de technicien supérieur;Maintenance des véhicules option B : véhicules de transport routier;35460;2016-02-11;2018;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 5;320-31213 T;Brevet de technicien supérieur;Management commercial opérationnel;34031;2018-10-15;2021;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 5;320-33424 P;Brevet de technicien supérieur;Management en hôtellerie et restauration option B management d'unité de production culinaire;35339;2018-02-15;2020;
CPC Mer et navigation intérieure;Secteur Métallurgie;Sous-secteur;Niveau 5;320-25013 R;Brevet de technicien supérieur;Mécatronique navale;36969;2021-12-16;2024;
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 5;320-33604 T;Brevet de technicien supérieur;Métiers de l'esthétique-cosmétique-parfumerie, option B formation-marques;20693;2012-10-30;2015;
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 5;320-33607 T;Brevet de technicien supérieur;Métiers de la coiffure;20687;2014-02-26;2016;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-34501 M;Brevet de technicien supérieur;Notariat;4984;2007-04-17;2010;2023
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 5;320-22003 N;Brevet de technicien supérieur;Pilotage de procédés;34830;2016-02-11;2018;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-32614 T;Brevet de technicien supérieur;Services informatiques aux organisations option B solutions logicielles et applications métiers;35340;2019-04-29;2022;
CPC Agriculture, agroalimentaire et aménagement des espaces;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 5;320-25213 M;Brevet de technicien supérieur;Techniques et services en matériels agricoles;1019;2013-04-08;2015;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-22311 M;Brevet de technicien supérieur;Traitements des matériaux option a : traitements thermiques;1186;2001-08-06;2003;
