FORMATION_DIPLOME;NIVEAU_FORMATION_DIPLOME;GROUPE_SPECIALITE;LETTRE_SPECIALITE;ANCIEN_RECME;LIBELLE_COURT;LIBELLE_STAT_33;LIBELLE_LONG_200;DATE_OUVERTURE;DATE_FERMETURE;UNITE_CAPITALISABLE;DATE_PREMIERE_SESSION;DATE_DERNIERE_SESSION;DATE_ARRETE_CREATION;DATE_ARRETE_ABROGATION;DATE_ARRETE_MODIFICATION_1;DATE_ARRETE_MODIFICATION_2;DATE_ARRETE_MODIFICATION_3;DATE_ARRETE_MODIFICATION_4;DATE_ARRETE_MODIFICATION_5;DATE_ARRETE_MODIFICATION_6;DATE_ARRETE_MODIFICATION_7;DATE_ARRETE_MODIFICATION_8;DATE_ARRETE_MODIFICATION_9;DATE_ARRETE_MODIFICATION_10;COMMENTAIRE;NATURE_FORMATION_DIPLOME;GESTIONNAIRE_FORMATION_DIPLOME;DATE_INTERVENTION;ID_DOCUMENT;CITE_DOMAINE_FORMATION;NIVEAU_QUALIFICATION_RNCP
13532014;135;320;M;;MASTER PRO;MANAGEMENT ET COMMUNICATION;SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION SPE MANAGEMENT ET COMMUNICATION (MASTER PARIS 4);01/09/2009;31/08/2019;;;;;;;;;;;;;;;;FORMASUP Paris CELSA;1;DEPPA1;10/12/2020;;320;07
13532015;135;320;M;;MASTER PRO;MEDIAS ET PUBLICS;SCIENCES POLITIQUES ET SOCIALES : MEDIA, INFORMATION ET COMMUNICATION SPE MEDIAS, PUBLICS ET CULTURES NUMERIQUES (MASTER PARIS 2);01/09/2009;31/08/2019;;;;;;;;;;;;;;;;formasup paris;1;DEPPA1;10/12/2020;;320;07
13532016;135;320;M;;MASTER PRO;INGENIERIE DES MEDIAS;SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION SPE INGENIERIE DES MEDIAS (MASTER TOULON);01/09/2010;31/08/2018;;;;;;;;;;;;;;;;remplace avec le 13532010 de nice par le 13532037;1;DEPPA1;10/12/2020;;320;07
13532017;135;320;M;;MASTER PRO;COMM ETS ET INSTITUTIONS;SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION SPE COMMUNICATION DES ENTREPRISES ET DES INSTITUTIONS (MASTER PARIS 4);01/09/2010;31/08/2019;;;;;;;;;;;;;;;;Option roscom : Risques, opinion et stratégies de communication demande Formasup Paris;1;;10/12/2020;;320;07
13532018;135;320;N;;MASTER PRO;DIRECTION ET EXPERTISE MEDIA;SCIENCES HUMAINES ET SOCIALES : INFORMATION COMMUNICATION SPE DIRECTION ET EXPERTISE MEDIA (MASTER PARIS 3);01/09/2011;31/08/2012;;;;;;;;;;;;;;;;demande formasup paris nvelle specialite qui devait s'ajouter aux 5 deja habilitee fermeture 2013? MAIS NON;1;DEPPA1;10/12/2020;;320;07
13532019;135;320;M;;MASTER PRO;MEDIAS ET COMMUNICATION;SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION SPE MEDIAS ET COMMUNICATION (MASTER PARIS 4);01/09/2011;31/08/2019;;;;;;;;;;;;;;;;demande formasup paris;1;DEPPA1;10/12/2020;;320;07
13532020;135;320;R;;MASTER PRO;MANAGT RISK SYSTEMES INFORMATION;SCIENCES, TECHNOLOGIES, SANTE : GESTION DES RISQUES SPE MANAGEMENT DES RISQUES ET DES SYSTEMES D'INFORMATION (MASTER POITIERS);01/09/2012;31/08/2018;;;;;;;;;;;;;;;;remplace par le 13534334 avec le 13534323;1;DEPPA1;10/12/2020;;481;07
13532021;135;320;N;;MASTER PRO;MANAGT DE LA COMM GLOBALE ORG;ADMINISTRATION ET GESTION DES ENTREPRISES SPE MANAGEMENT DE LA COMMUNICATION GLOBALE DES ORGANISATIONS (MASTER VERSAILLES);01/09/2012;31/08/2015;;;;;;;;;;;;;;;;remplace par le 1353101G;1;DEPPA1;10/12/2020;;345;07
13532022;135;320;M;;MASTER PRO;ING ECHANGES INTERCULTURELS;SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION SPE INGENIERIE DES ECHANGES INTERCULTURELS (MASTER PARIS 3);01/09/2012;31/08/2014;;;;;;;;;;;;;;;;demande formasup paris;1;DEPPA1;10/12/2020;;200;07
13532023;135;320;N;;MASTER PRO;INFORMATION COMMUNICATION;INFORMATION, COMMUNICATION (MASTER LILLE 3);01/09/2013;31/08/2020;;;;;;;;;;;;;;;;remplace sise 2204433 hab 20100342;1;DEPPA1;10/12/2020;;321;07
13532024;135;320;T;;MASTER PRO;GESTION INFORMATION DOCUMENT;CULTURE ET COMMUNICATION : CREATION, INNOVATION, INFORMATION NUMERIQUES SPE GESTION DE L'INFORMATION ET DU DOCUMENT (MASTER PARIS 8);01/09/2013;31/08/2015;;;;;;;;;;;;;;;;demande formasup Paris pour ouverture debut campagne habilitation;1;DEPPA1;10/12/2020;;320;07
13532025;135;320;N;;MASTER PRO;DYNAMIQUES CULTURELLES;CULTURE ET COMMUNICATION : INFORMATION, COMMUNICATION SPE DYNAMIQUES CULTURELLES (MASTER PARIS 13);01/09/2013;31/08/2019;;;;;;;;;;;;;;;;anc hab 20090142 sise 2215286 demande CFA ACE expertise comptable;1;DEPPA1;10/12/2020;;320;07
13532026;135;320;N;;MASTER PRO;INFORMATION, COMMUNICATION;INFORMATION, COMMUNICATION (MASTER MONTPELLIER 3);01/09/2013;31/08/2021;;;;;;;;;;;;;;;;remplace sise 2205322 hab 20041643;1;DEPPA1;10/12/2020;;320;07
13532027;135;320;M;;MASTER PRO;MEDIAS ET MONDIALISATION;SCIENCES POLITIQUES ET SOCIALES : IMEDIAS, INFORMATION ET COMMUNICATION SPE MEDIAS ET MONDIALISATION (PARIS 2);01/09/2015;31/08/2019;;;;;;;;;;;;;;;;formasup paris;1;DEPPA1;10/12/2020;;320;07
13532028;135;320;M;;MASTER PRO;MANAGEMENT DE L'INNOVATION;MANAGEMENT DE L'INNOVATION (MASTER MARNE LA VALLEE);01/09/2014;31/08/2020;;;;;;;;;;;;;;;;cfa descartes remplace les 13532004 et 13531307;1;DEPPA1;10/12/2020;;481;07
13532029;135;320;M;;MASTER PRO;SEMIOTIQUE ET STRATEGIES;ARTS, LETTRES, LANGUES : SEMIOTIQUE ET COMMUNICATION SPE SEMIOTIQUE ET STRATEGIES (MASTER LIMOGES);01/09/2016;31/08/2018;;;;;;;;;;;;;;;;emplace par le 13532040 avec le 13532202;1;DEPPA1;10/12/2020;;222;07
13532030;135;320;R;;MASTER PRO;MANAGEMENT DE L'INNOVATION;MANAGEMENT DE L'INNOVATION (MASTER AIX MARSEILLE);01/09/2016;31/08/2023;;;;;;;;;;;;;;;;demande cfe epure mediterannee;1;DEPPA1;10/12/2020;;345;07
13532031;135;320;M;;MASTER PRO;AUDIOV MEDIA INTERACT NUM JEUX;AUDIOVISUEL, MEDIAS INTERACTIFS NUMERIQUES, JEUX (MASTER INST CHAMPOLLION);01/09/2016;31/08/2021;;;;;;;;;;;;;;;;demande region;1;DEPPA1;10/12/2020;;481;07
13532032;135;320;M;;MASTER PRO;HUMANITES NUMERIQUES;SCIENCES HUMAINES ET SOCIALES : HUMANITES NUMERIQUES (MASTER MONTPELLIER 3);01/09/2016;31/08/2021;;;;;;;;;;;;;;;;demande saia;1;DEPPA1;10/12/2020;;320;07
13532033;135;320;N;;MASTER PRO;CREATION NUMERIQUE;ARTS, LETTRES, LANGUES : CREATION NUMERIQUE (MASTER CHAMBERY);01/09/2016;31/08/2021;;;;;;;;;;;;;;;;demande cfa formasup pays de savoie;1;DEPPA1;10/12/2020;;320;07
13532034;135;320;M;;MASTER PRO;INFORMATION COMMUNICATION;INFORMATION, COMMUNICATION (MASTER TOULOUSE 3);01/08/2017;31/08/2021;;;;;;;;;;;;;;;;demande universite;1;DEPPA1;10/12/2020;;321;07
13532035;135;320;M;;MASTER PRO;HUMANITES NUMERIQUES;HUMANITES NUMERIQUES (MASTER CNAM);01/09/2016;31/08/2024;;;;;;;;;;;;;;;;demande caf cnam idf;1;DEPPA1;10/12/2020;;320;07
13532036;135;320;M;;MASTER PRO;INFORMATION COMMUNICATION;INFORMATION, COMMUNICATION (MASTER DIJON);01/08/2017;31/08/2023;;;;;;;;;;;;;;;;demande ucci cote d'or;1;DEPPA1;10/12/2020;;321;07
13532037;135;320;M;;MASTER PRO;INFORMATION COMMUNICATION;INFORMATION, COMMUNICATION (MASTER COMUE COTE D'AZUR);01/08/2017;31/08/2023;;;;;;;;;;;;;;;;remplace le 13532010 et 13532016;1;DEPPA1;10/12/2020;;321;07
13532038;135;320;T;;MASTER PRO;JOURNALISME;SCIENCES POLITIQUES ET SOCIALES : MEDIAS, INFORMATION ET COMMUNICATION SPE JOURNALISME (PARIS 2);01/08/2018;31/08/2019;;;;;;;;;;;;;;;;demande formasup paris;1;DEPPA1;10/12/2020;;320;07
13532039;135;320;M;;MASTER PRO;INFORMATION COMMUNICATION;INFORMATION, COMMUNICATION (MASTER MULOUSE);01/08/2018;31/08/2023;;;;;;;;;;;;;;;;remplace le 13531035;1;DEPPA1;10/12/2020;;321;07
13532040;135;320;M;;MASTER PRO;CULTURE ET COMMUNICATION;CULTURE ET COMMUNICATION (MASTER);01/09/2018;;;;;;;;;;;;;;;;;rncp 34836;1;DEPPA1;14/12/2020;;320;07
13532041;135;320;M;;MASTER PRO;INFORMATION COMMUNICATION;INFORMATION, COMMUNICATION (MASTER BESANCON);01/08/2018;31/08/2023;;;;;;;;;;;;;;;;demande cfa sup fc;1;DEPPA1;10/12/2020;;321;07
13532042;135;320;M;;MASTER PRO;COMMUNICATION DES ORGANISATIONS;COMMUNICATION DES ORGANISATIONS (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 32276;1;DEPPA1;10/12/2020;;320;07
13532043;135;320;M;;MASTER PRO;HUMANITES NUMERIQUES;HUMANITES NUMERIQUES (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 34853;1;DEPPA1;14/12/2020;;320;07
13532044;135;320;M;;MASTER PRO;AUDIOV MEDIAS INTERACT NUMER JEUX;AUDIOVISUEL, MEDIAS INTERACTIFS NUMERIQUES, JEUX (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 31846;1;DEPPA1;10/12/2020;;213;07
13532045;135;320;M;;MASTER PRO;INFORMATION COMMUNICATION;INFORMATION, COMMUNICATION (MASTER);01/09/2018;;;;;;;;;;;;;;;;;rncp 38208;1;DEPPA1;13/12/2023;;321;07
13532046;135;320;P;;MASTER PRO;HUMANITES INDUSTRIES CREATIVES;HUMANITES ET INDUSTRIES CREATIVES (MASTER);01/09/2019;;;;;;;;;;;;;;;;;;1;DEPPA1;12/09/2023;;320;07
13532047;135;320;M;;MASTER PRO;MET ETUDES CONSEILS INTERVENTION;METIERS DES ETUDES, DU CONSEIL ET DE L'INTERVENTION (MASTER MECI PARIS);01/09/2019;31/08/2024;;;;;;;;;;;;;;;;rncp 34222;1;DEPPA1;04/01/2021;;300;07
13532048;135;320;M;;MASTER PRO;COMMUNICATION PUBLIQUE ET POLITIQ;COMMUNICATION PUBLIQUE ET POLITIQUE (MASTER);01/09/2020;;;;;;;;;;;;;;;;;rncp 36760;1;DEPPA1;14/11/2022;;320;07
13532101;135;321;M;;MASTER PRO;HYPERMEDIA ET COMMUNICATION;DROIT ECONOMIE GESTION : HYPERMEDIA ET COMMUNICATION (MASTER CHAMBERY);01/09/2007;31/08/2016;;;;;;;;;;;;;;;;remplace par le 1353102F;1;DGES;10/12/2020;;213;07
13532102;135;321;N;;MASTER PRO;CONCEPTEUR REDACTEUR DE DOC TECH;SCIENCES ET TECHNOLOGIES : SCIENCES HUMAINES ET TECHNOLOGIES : CONCEPTEUR, REDACTEUR DE DOCUMENTATION TECHNIQUE (MASTER PRO);01/09/2006;31/08/2009;;;;;;;;;;;;;;;;UTCompiègne;1;;10/12/2020;;321;07
13532103;135;321;M;;MASTER PRO;JOURNALISME CULTUREL;SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION SPE JOURNALISME CULTUREL (MASTER PARIS 3);01/09/2005;31/08/2019;;;;;;;;;;;;;;;;Univ Paris 3;1;;10/12/2020;;321;07
13532104;135;321;M;;MASTER PRO;JOURNALISME;SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION SPE JOURNALISME (MASTER PARIS 4);01/09/2010;31/08/2019;;;;;;;;;;;;;;;;demande CFA formasup Paris;1;DEPPA1;10/12/2020;;321;07
13532105;135;321;N;;MASTER PRO;JOURNALISME PARIS DAUPHINE;SCIENCES DES ORGANISATIONS (DROIT, ECONOMIE, GESTION, SCIENCES SOCIALES) : JOURNALISME SPE JOURNALISME (MASTER DAUPHINE);01/09/2011;31/08/2014;;;;;;;;;;;;;;;;demande CFA Formasup Paris;1;DEPPA1;10/12/2020;;321;07
13532106;135;321;N;;MASTER PRO;JOURNALISME SCIENTIFIQUE;ARTS, LETTRES, LANGUES : CINEMA, DOCUMENTAIRE, MEDIAS SPE JOURNALISME, CULTURE ET COMMUNICATION SCIENTIFIQUES (MASTER PARIS 7);01/09/2012;31/08/2019;;;;;;;;;;;;;;;;demande Formasup Paris;1;DEPPA1;10/12/2020;;320;07
13532107;135;321;N;;MASTER PRO;JOURNALISME;JOURNALISME (MASTER STRASBOURG);01/09/2014;31/08/2023;;;;;;;;;;;;;;;;anc hab 20090458 sise 2203862;1;DEPPA1;10/12/2020;;321;07
13532108;135;321;T;;MASTER PRO;JOURNALISME;JOURNALISME (BORDEAUX 3);01/09/2014;31/08/2021;;;;;;;;;;;;;;;;demande region;1;DEPPA1;10/12/2020;;321;07
13532109;135;321;T;;MASTER PRO;JOURNALISME;JOURNALISME (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 34036;1;DEPPA1;10/12/2020;;321;07
13532110;135;321;M;;MASTER PRO;INFO MET MEDIATION SCIENTIF TECHN;INFORMATION ET MEDIATION SCIENTIFIQUE ET TECHNIQUE (MASTER);01/09/2020;;;;;;;;;;;;;;;;;rncp 34849;1;DEPPA1;14/12/2020;;321;07
13532201;135;322;P;;MASTER PRO;METIERS DU LIVRE ET DE L'EDITION;METIERS DU LIVRE ET DE L'EDITION (MASTER MARNE LA VALLEE);01/09/2010;31/08/2020;;;;;;;;;;;;;;;;cfa descartes remplace sise 2214226 hab 20050649;1;DEPPA1;10/12/2020;;220;07
13532202;135;322;M;;MASTER PRO;EDITION;ARTS, LETTRES, LANGUES : SEMIOTIQUE ET COMMUNICATION SPE EDITION (MASTER LIMOGES);01/09/2016;31/08/2018;;;;;;;;;;;;;;;;remplace par le 13532040 avec le 13532029;1;DEPPA1;10/12/2020;;220;07
13532203;135;322;N;;MASTER PRO;POLITIQUES EDITORIALES;CULTURE ET COMMUNICATION : METIERS DU LIVRE ET DE L'EDITION SPE POLITIQUES EDITORIALES (MASTER PARIS 13);01/09/2017;31/08/2019;;;;;;;;;;;;;;;;demande cfa sup 2000;1;SPN DEP B4;10/12/2020;;220;07
13532204;135;322;M;;MASTER PRO;METIERS DU LIVRE ET DE L'EDITION;METIERS DU LIVRE ET DE L'EDITION (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 34100;1;DEPPA1;10/12/2020;;220;07
13532301;135;323;P;;MASTER PRO;METIERS PROD THEATRALE;ARTS, LETTRES, LANGUES : ETUDES THEATRALES SPE METIERS DE LA PRODUCTION THEATRALE (MASTER PARIS 3);01/09/2005;31/08/2019;;;;;;;;;;;;;;;;Univ Paris 3 0751719L classé en 133 dans SISE;1;DEPP C1;10/12/2020;;212;07
13532302;135;323;N;;MASTER PRO;INFORMATIQ SCIENCES DE L'IMAGE;SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE SPE INFORMATIQUE ET SCIENCES DE L'IMAGE (MASTER STRASBOURG);01/09/2014;31/08/2018;;;;;;;;;;;;;;;;remplace par le 13532698 avec les 13532629 et 13532651;1;DEPPA1;10/12/2020;;481;07
13532303;135;323;M;;MASTER PRO;CINEMA ET AUDIOVISUEL;CINEMA ET AUDIOVISUEL (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 34432;1;DEPPA1;10/12/2020;;213;07
13532501;135;325;M;;MASTER PRO;CAPITAL IMMATERIEL;SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION SPE PATRIMOINE IMMATERIEL ET INFORMATION SCIENTIFIQUE, TECHNIQUE ET ECONOMIQUE (MASTER MARNE LA VALLEE);01/09/2004;31/08/2015;;2006;;;;;;;;;;;;;;remplace avec le 13512217 par le 13512224;1;SPN DEP B4 B5;10/12/2020;;322;07
13532502;135;325;M;;MASTER PRO;METIERS DU LIVRE ET DE L'EDITION;METIERS DU LIVRE ET DE L'EDITION (MASTER PARIS 10);01/09/2009;31/08/2019;;;;;;;;;;;;;;;;cfa sup 2000;1;DEPPA1;10/12/2020;;320;07
13532503;135;325;T;;MASTER PRO;ARCHIVES;ARCHIVES (MASTER);01/09/2017;;;;;;;;;;;;;;;;;rncp 34429;1;DEPPA1;10/12/2020;;322;07
13532504;135;325;M;;MASTER PRO;INFORMATION DOCUMENTATION;INFORMATION, DOCUMENTATION (MASTER);01/09/2016;;;;;;;;;;;;;;;;;rncp 34107;1;DEPPA1;10/12/2020;;322;07
13532505;135;325;M;;MASTER PRO;SC INFORMATION ET BIBLIOTHEQUES;SCIENCES DE L'INFORMATION ET DES BIBLIOTHEQUES (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 31515;1;DEPPA1;10/12/2020;;322;07
13532601;135;326;M;;MASTER PRO;SYST INFORMATION ET CONTRÔLE;DROIT, ECONOMIE, GESTION : FINANCE,COMPTABILITE SPE SYSTEMES D'INFORMATION ET CONTROLE (MASTER POITIERS);01/09/2004;31/08/2018;;;;;;;;;;;;;;;;remplace par le 13531442 pour nsf;1;SPN DEP B4 B5;10/12/2020;;320;07
13532602;135;326;M;;MASTER PRO;INGENIERIE RESEAUX ET SYSTEMES;SCIENCES TECHNOLOGIES SANTE : INFORMATIQUE SPE INGENIERIE DES RESEAUX ET SYSTEMES (MASTER VERSAILLES);01/09/2004;31/08/2015;;;;;;;;;;;;;;;;remplace par le 13532673 universite paris saclay;1;SPN DEP B4 B5;10/12/2020;;481;07
13532603;135;326;M;;MASTER PRO;RESEAUX & TELECOMM;SCIENCES : INSTRUMENTATION, SYSTEMES, AUTOMATISATION, RESEAUX ET COMMUNICATIONS SPE RESEAUX ET TELECOMMUNICATIONS (MASTER PRO);01/09/2004;31/08/2009;;;;;;;;;;;;;;;;habilité aix marseille 1 et 2 mais jamais remonte;1;SPN DEP B4 B5;10/12/2020;;523;07
13532604;135;326;T;;MASTER PRO;METH INFO GESTION ENTREPR (MIAGE);SCIENCES  SANTE TECHNOLOGIES : SCIENCES ET TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION SPE METHODE INFORMATIQUE APPLIQUEE A LA GESTION DES ENTREPRISES (MIAGE) (MASTER PRO);01/09/2004;31/08/2009;;;;;;;;;;;;;;;;habilite a nice mais jamais remonte;1;SPN DEP B4 B5;10/12/2020;;481;07
13532605;135;326;T;;MASTER PRO;MIAGE METH INFORM APPLIQ GESTION;METHODES INFORMATIQUES APPLIQUEES A LA GESTION DES ENTREPRISES - MIAGE (MASTER AIX MARSEILLE);01/09/2004;31/08/2023;;;;;;;;;;;;;;;;anc hab 20080883 sise 2214804;1;SPN DEP B4 B5;10/12/2020;;481;07
13532606;135;326;N;;MASTER PRO;RESEAUX ET TELECOMMUNICATION;RESEAUX ET TELECOMMUNICATION (MASTER TOULOUSE 3);01/09/2004;31/08/2021;;;;;;;;;;;;;;;;anc sise 2212518 hab 20045086;1;SPN DEP B4 B5;10/12/2020;;481;07
13532607;135;326;M;;MASTER PRO;AUDIT & ETUDES INFORMATIQUES;ENTREPRISES, SERVICES : APPLICATIONS INFORMATIQUES :GESTION, ETUDES, ENQUETES, MULTIMEDIA ET E-FORMATION SPE AUDIT ET ETUDES INFORMATIQUES (MASTER MLV);01/09/2004;31/08/2009;;;;;;;;;;;;;;;;REMONTE EN 2005-06;1;SPN DEP B4 B5;10/12/2020;;481;07
13532608;135;326;N;;MASTER PRO;INGENIERIE DES ENQUETES;ENTREPRISES, SERVICES : APPLICATIONS INFORMATIQUES :GESTION, ETUDES, ENQUETES, MULTIMEDIA ET E-FORMATION SPE INGENIERIE DES ENQUETES (MASTER PRO);01/09/2004;31/08/2009;;;;;;;;;;;;;;;;JAMAIS REMONTE;1;SPN DEP B4 B5;10/12/2020;;481;07
13532609;135;326;M;;MASTER PRO;MIAGE;METHODES INFORMATIQUES APPLIQUEES A LA GESTION DES ENTREPRISES - MIAGE (MASTER AMIENS);01/09/2005;31/08/2023;;;;;;;;;;;;;;;;pas d'apprentis aux rentrees 2021 et 2022;1;DGES;09/09/2023;;481;07
13532610;135;326;M;;MASTER PRO;ORGA DES SYST INFO ENTREPRISE;SCIENCES ET TECHNOLOGIES : METHODES INFORMATIQUES APPLIQUEES A LA GESTION DES ENTREPRISES SPE ORGANISATION DES SYSTEMES D'INFORMATION DE L'ENTREPRISE (MASTER AMIENS);01/09/2005;31/08/2009;;;;;;;;;;;;;;;;remonte par erreur en 2008 par formpost montpellier;1;SPN DEP B4 B5;10/12/2020;;481;07
13532611;135;326;M;;MASTER PRO;INGENIERIE SYSTEME;SCIENCES SANTE TECHNOLOGIES : SCIENCES ET TECHNOLOGIE DE L'INFORMATION ET DE LA COMMUNICATION SPE INGENIERIE-SYSTEME (MASTER BESANCON);01/09/2005;31/08/2009;;;;;;;;;;;;;;;;REMONTE EN 2005-06;1;SPN DEP B4 B5;10/12/2020;;481;07
13532612;135;326;M;;MASTER PRO;METH INFO APP A LA GESTION;SCIENCES TECHNOLOGIES SANTE SPE METHODES INFORMATIQUES APPLIQUEES A LA GESTION (MASTER LYON 1);01/09/2005;31/08/2011;;;;;;;;;;;;;;;;Univ. Lyon 1 hab=20040248;1;SPN DEP B4 B5;10/12/2020;;481;07
13532613;135;326;M;;MASTER PRO;SYS INFO REPARTIS ET RESEAUX;SCIENCES TECHNOLOGIES SANTE : COMPETENCES COMPLEMENTAIRES EN INFORMATIQUE, SPE SYSTEMES D'INFORMATION REPARTIS ET RESEAUX (MASTER PRO);01/09/2004;01/10/2009;;;;;;;;;;;;;;;;intitule sise ferme en 2007 remonte en 2005-06;1;SPN DEP B4 B5;10/12/2020;;481;07
13532614;135;326;M;;MASTER PRO;METHODES GEST APPLIQ GESTION ETS;SCIENCES, TECHNOLOGIES, SANTE : MATHEMATIQUES ET INFORMATIQUE SPE METHODES INFORMATIQUES APPLIQUEES A LA GESTION DES ENTREPRISES (MASTER PARIS 5);01/09/2005;31/08/2019;;;;;;;;;;;;;;;;Univ Paris 5 R. Descartes + CFA AFIA, hab 20041174 ( tél Nguyen DES A 11 );1;SPN DEP B4 B5;10/12/2020;;481;07
13532615;135;326;M;;MASTER PRO;SYSTEMES INFO TECHNO NVELLES;SCIENCES DES ORGANISATIONS (DROIT, ECONOMIE, GESTION, SCIENCES SOCIALES) : SYSTEMES D'INFORMATION SPE SYSTEMES D'INFORMATION DE L'ENTREPRISE ETENDUE : AUDIT ET CONSEIL ( MASTER DAUPHINE);01/09/2005;31/08/2014;;2006;;;;;;;;;;;;;;voir le 13532666;1;SPN DEP B4 B5;10/12/2020;;345;07
13532616;135;326;M;;MASTER PRO;MATHS INFO APPLIQUEES AUX SHS;MATHEMATIQUES ET INFORMATIQUE APPLIQUEES AUX SCIENCES HUMAINES ET SOCIALES - MIASHS (MASTER TOULOUSE 2);01/09/2005;31/08/2021;;2006;;;;;;;;;;;;;;ancien sise 2213254 - 2205468 hab 20070800;1;SPN DEP B4 B5;10/12/2020;;481;07
13532617;135;326;T;;MASTER PRO;MIAGE;METHODES INFORMATIQUES APPLIQUEES A LA GESTION DES ENTREPRISES - MIAGE (MASTER GRENOBLE ALPES);01/09/2005;31/08/2021;;2006;;;;;;;;;;;;;;anc hab 20030376 sise 2210270;1;SPN DEP B4 B5;10/12/2020;;480;07
13532618;135;326;M;;MASTER PRO;CULTURE METIERS DU WEB;SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION SPE CULTURES ET METIERS DU WEB (MASTER MARNE LA VALLEE);01/09/2004;31/08/2015;;;;;;;;;;;;;;;;remplace avec le 13531512 et le 135331040 par le 13512307;1;SPN DEP B4 B5;10/12/2020;;481;07
13532619;135;326;M;;MASTER PRO;INFPRM ING DES SYTEMES COMPLEXES;INFORMATIQUE ET INGENIERIE DES SYSTEMES COMPLEXES (MASTER CERGY);01/09/2005;31/08/2020;;2006;;;;;;;;;;;;;;rncp 24271 voir rncp 34026;1;SPN DEP B4 B5;10/12/2020;;481;07
1353261A;135;326;M;;MASTER PRO;INFORMATIQUE;INFORMATIQUE (MASTER PARIS 8);01/09/2018;31/08/2020;;;;;;;;;;;;;;;;deamnde cfa afia;1;DEPPA1;10/12/2020;;481;07
1353261B;135;326;M;;MASTER PRO;INFORMATIQUE;INFORMATIQUE (GRENOBLE IP);01/09/2018;31/08/2021;;;;;;;;;;;;;;;;coaccredite Grenoble univ;1;DEPPA1;10/12/2020;;481;07
1353261C;135;326;M;;MASTER PRO;MANAGEMENT DES SYSTEM D'INFORMATI;MANAGEMENT DES SYSTEMES D'INFORMATION (MASTER LA ROCHELLE);01/09/2018;31/08/2022;;;;;;;;;;;;;;;;demande region;1;DEPPA1;10/12/2020;;481;07
1353261D;135;326;M;;MASTER PRO;MIAGE;METHODES INFORMATIQUES APPLIQUEES A LA GESTION DES ENTREPRISES - MIAGE (MASTER ANTILLES);30/08/2018;31/08/2022;;;;;;;;;;;;;;;;demande cfa providence;1;DEPPA1;10/12/2020;;481;07
1353261E;135;326;M;;MASTER PRO;MANAGEMENT DES SYSTEM D'INFORMATI;MANAGEMENT DES SYSTEMES D'INFORMATION (MASTER ORLEANS);01/09/2018;31/08/2023;;;;;;;;;;;;;;;;demande region;1;DEPPA1;10/12/2020;;481;07
1353261F;135;326;M;;MASTER PRO;INFORMATIQUE;INFORMATIQUE (MASTER BESANCON);01/09/2019;31/08/2023;;;;;;;;;;;;;;;;demande cfa sup fc;1;DEPPA1;10/12/2020;;481;07
1353261G;135;326;M;;MASTER PRO;INFORMATIQUE;INFORMATIQUE (MASTER TOULOUSE 3);01/09/2019;31/08/2021;;;;;;;;;;;;;;;;demande univ;1;DEPPA1;10/12/2020;;481;07
1353261H;135;326;M;;MASTER PRO;INFORMATIQUE;INFORMATIQUE (MASTER PAU);01/09/2019;31/08/2021;;;;;;;;;;;;;;;;demande cfa univ;1;DEPPA1;10/12/2020;;481;07
1353261J;135;326;M;;MASTER PRO;INFORMATIQUE;INFORMATIQUE (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 34126;1;DEPPA1;10/12/2020;;481;07
1353261K;135;326;M;;MASTER PRO;MANAGEMENT DES SYSTEM D'INFORMATI;MANAGEMENT DES SYSTEMES D'INFORMATION (MASTER);01/09/2018;;;;;;;;;;;;;;;;;rncp 35908;1;DEPPA1;06/10/2021;;481;07
1353261M;135;326;M;;MASTER PRO;MIAGE;METHODES INFORMATIQUES APPLIQUEES A LA GESTION DES ENTREPRISES - MIAGE (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 31471;1;DEPPA1;10/12/2020;;481;07
1353261N;135;326;M;;MASTER PRO;RESEAUX ET TELECOMMUNICATION;RESEAUX ET TELECOMMUNICATION (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 34125;1;DEPPA1;10/12/2020;;481;07
